S.no,Name of the report,Year,Released Month,Tags,AID,SID,SSID,CDN Report Link,Thumbnail Links- New
296,State of India K-12 Report: Resilience Amidst Uncertainties- Sector Report,2024,,"K-12 education, resilience, uncertainties, sector report,primary education, school sector, education trends, challenges",1029,5000,5003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/State%20of%20India%20K-12_Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/296.webp
297,"The What, Why, and How of K12 Platforms Report",2024,,"K-12 platforms, education technology, implementation,edtech, school platforms, education systems, learning technology",1029,5000,5003,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/The%20what,%20why,%20and%20how%20of%20K12%20Platforms_Report.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/297.webp
298,HealthTech Report: Indian Industry Overview,2023,JUNE,"HealthTech, Indian healthcare, industry overview, technology in healthcare,digital health, health technology, healthcare sector",1029,10000,10004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/HealthTech_v17-1.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/298.webp
299,India Insurtech: Indian Industry Overview of Insurance Industry,2024,,"Insurtech, insurance industry, Indian market, technology in insurance,digital insurance, insurance technology, insurtech landscape",1012,16000,16001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/INDIA%20INSURETECH%20BLUME%20VENTURES.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/299.webp
300,Eldercare Bluprint: Senior Care Market Sector Overview,2024,,"eldercare, senior care, market overview, aging population,elderly care, senior market, senior living, geriatric care",1012,10000,10010,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Eldercare%20Bluprint.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/300.webp
301,Senior Care Reforms in India ,2024,feb,"senior care, reforms, policy changes, aging population,eldercare policies, senior services, elderly support",1030,10000,10010,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Senior%20Care%20Reforms%20in%20India%20FINAL%20FOR%20WEBSITE_compressed.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/301.webp
302,India Electric Vehicle Report 2023 : Critical unlocks are needed to realize the $100+ billion EV opportunity,2023,,"electric vehicles, Indian EV market, critical unlocks, market potential,EV industry, electric mobility, sustainable transportation",1001,8000,8002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/bain_report_india_electric_vehicle_report_2023.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/302.webp
303,Unlocking Indian Entreprise Fintech Market,2024,,"fintech, enterprise solutions, Indian market, financial technology,digital finance, enterprise fintech, financial solutions",1019,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/FinTech-Report-2024.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/303.webp
305,"Large language by Deloitte and Nasscomm
Models (LLMs)- A
Backgrounder",2023,sep,"large language models, LLMs, artificial intelligence, backgrounder,AI models, language models, natural language processing",1031,3000,3004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/in-consulting-nasscom-deloitte-paper-large-language-models-LLMs-noexp.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/305.webp
306,India: The new hub for Neobanks 2.0,2022,june,"neobanks, Indian market, digital banking, fintech 2.0,challenger banks, digital banks, fintech innovation",1032,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/India-new-hub-of-neobank-2.0-V2.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/306.webp
308,Green Hydrogen BLUprint: Renewables Sector Report,2024,,"green hydrogen, renewable energy, sector report, sustainability,hydrogen energy, green energy, sustainable power",1012,8000,8003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BlumeVentures/Green-Hydrogen-BLUprint_Summary.f1705995929.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/308.webp
309,"The India Snacking Report: Safety, Technology, Taste, Ease and Mood Uplifter",2022,,"snacking industry, safety, technology, consumer trends, mood food,snacks market, food safety, convenience food, consumer preferences",1033,18000,18002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/the_india_snacking_report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/309.webp
310,"MRO in India: Trends, Challenges and Way Forward- Trends, Challenges and Way Forward",2022,,"MRO (maintenance, repair, and operations), Indian market, trends, challenges,maintenance sector, repair industry, operational trends",1030,25000,25006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/MRO_Report-FINAl.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/310.webp
311,India emergence of a global leader in aviation knowledge report on the indian aviation industry,2022,,"aviation industry, Indian market, global leadership, knowledge report,air travel, aerospace sector, aviation trends, aviation analysis",1034,25000,25006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/india-emergence-of-a-global-leader-in-aviation-knowledge-report-on-the-indian-aviation-industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/311.webp
312,India Tourism Statistics 2021: Travel Report,2021,,"tourism statistics, travel industry, Indian market, 2021 report,tourism trends, travel insights, visitor data, tourism analysis",1035,28000,28001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/India%20Tourism%20Statistics%202021%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/312.webp
313,India's Green Hydrogen Revolution: An Ambitious Approach,2024,,"green hydrogen, energy transition, Indian market, sustainability,hydrogen revolution, renewable energy, sustainable fuel",1002,8000,8003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/hydrogen%20sector%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/313.webp
314,"The AIdea
of India : Generative AI’s potential
to accelerate India’s
digital transformation",2023,,"generative AI, digital transformation, Indian market, AI potential,artificial intelligence, AI innovation, digital acceleration",1002,3000,3004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/ey-the-aidea-of-india-generative-ai-s-potential-to-accelerate-india-s-digital-transformation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/314.webp
315,EY EV Report: Electrifying Indian Mobility Report,2022,,"electric vehicles, mobility, Indian market, EY report,EV market, electric mobility, sustainable transportation",1002,8000,8002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/ey-electrifying-indian-mobility-report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/315.webp
316,Drone Industry Report,2023,,"drone industry, market trends, technology, Indian market,UAV market, drone technology, aerial innovation",1006,21000,21002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/DroneIndustryReport.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/317.webp
317,Bridging gaps in the India Insurance Sector,2023,,"insurance sector, gaps, Indian market, opportunities,insurance industry, sector challenges, market opportunities",1034,16000,16002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/bridging-gaps-in-the-india-insurance-sector.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/318.webp
318,AI: An opportunity admist a crisis,2020,,"artificial intelligence, crisis management, opportunities, technology,AI potential, crisis solutions, tech opportunities",1034,3000,3002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/ai-an-opportunity-amidst-a-crisis.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/319.webp
319,"AI & Us: A series of deep dives covering the impact
of Gen-AI across key sectors",2023,,"artificial intelligence, Gen-AI, impact, key sectors,AI influence, sector analysis, generative AI",1013,3000,3002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/AIUS-%E2%80%93-Year-Recap.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/320.webp
320,"Healthcare Innovation in India: Poised to become an approximately $60 billion opportunity by FY 2028 with the emergence
of new opportunities and profit pools ",2024,,"healthcare innovation, Indian market, opportunities, new profit pools,health tech, medical advancements, market potential",1001,10000,10002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/bain_report_healthcare_innovation_in_india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/321.webp
321,India’s Digital Fashion Disruptors: TMRW House of Brands,2023,,"digital fashion, market disruptors, Indian market, TMRW House of Brands,fashion tech, online fashion, fashion industry innovation",1001,18000,18001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/bain_report_indias_digital_fashion_disruptors.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/322.webp
322,"Win with Conversations: Transforming consumer engagement in India with generative
AI-powered conversational commerce",2024,,"generative AI, consumer engagement, conversational commerce, Indian market,AI in retail, customer engagement, conversational AI",1001,3000,3004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Bain&Company/bain_report_win_with_conversations.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/323.webp
323,Energy Transitions: Adapting to the new normal of the changing world,2019,,"energy transitions, sustainability, changing world, adaptation,renewable energy, sustainable transitions, energy market",1004,4000,4003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BCG/BCG-Energy-Transitions-Report_tcm9-235156%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/324.webp
324,India Economic Monitor,2024,,"economic monitor, Indian economy, market trends, economic insights,economic analysis, market overview, financial trends",1004,33000,33003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BCG/bcg-india-economic-monitor-march-2024.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/325.webp
325,Changing Tides of the Pune automotive industry,2024,,"automotive industry, Pune market, changes, trends,car market, automotive trends, regional analysis",1036,24000,24001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/kpmg/changing-tides-of-the-pune-automotive-industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/326.webp
326,Decarbonising India: Charting a pathway for sustainable growth,2022,,"decarbonisation, sustainable growth, Indian market, energy transition,carbon reduction, sustainability, green growth",1038,4000,4003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/McKinsey/decarbonising-india-charting-a-pathway-for-sustainable-growth-full-f.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/327.webp
327,Embedded insurance: the way forward,2023,,"embedded insurance, market trends, future outlook, technology,insurance innovation, integrated insurance, future insurance",1005,16000,16001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kearney/Embedded-insurance--the-way-forward.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/328.webp
328,Unlocking Indian fintech enterprise market,2024,,"fintech, enterprise solutions, Indian market, financial technology,digital finance, enterprise fintech, financial solutions",1019,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Chitrae/Enterprise-FinTech-Report-2024.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/329.webp
329,"Equipping,Enabling and advancing digital education in India",2021,,"digital education, Indian market, technology in education, advancement,online learning, edtech, education innovation",1004,5000,5003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BCG/equipping-enabling-and-advancing-digital-education-in-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/330.webp
330,"The Winds of Change: Trends shaping India’s
Fintech Sector: edition II",2022,,"fintech trends, Indian market, sector analysis, technology,financial technology, fintech developments, market trends",1002,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/EY/ey-winds-of-change-india-fintech-report-2022.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/331.webp
331,From India to the world: unleashing the potential of India's tourists,2023,,"tourism potential, Indian market, global reach, travel industry,travel opportunities, tourist market, international tourism",1038,28000,28001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/McKinsey/from-india-to-the-world-unleashing-the-potential-of-indias-tourists-v2.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/332.webp
332,Gaming Revolution: Unraveling the regulatory transformation in the online gaming industry,2023,,"online gaming, regulatory changes, Indian market, industry transformation,gaming laws, gaming market, regulatory insights",1036,5000,5001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/kpmg/gaming-revolution.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/333.webp
333,Green Hydrogen Report:The Next Frontier In Energy Transition,2024,,"green hydrogen, energy transition, Indian market, sustainability,hydrogen energy, renewable power, green technology",1008,4000,4003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Green%20Hydrogen_%20A%20~USD%20125%20billion%20decarbonization%20opportunity%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/334.webp
334,India's healthtech landscape in a post Covid-19 world,2020,,"healthtech, post-Covid-19, Indian market, technology in healthcare,digital health, healthcare innovation, pandemic impact",1009,10000,10009,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/INC%2042/Healtech%20Report%20Final%20Copy(RTP)%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/335.webp
335,State of AI in India : Second Edition,2022,,"artificial intelligence, Indian market, technology trends, AI developments,AI landscape, tech insights, AI sector",1031,3000,3002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Deloitte/in-State-of-AI-in-India-2022-noexp%20(1)%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/336.webp
336,Navigating Domestic Formulations: INR 5.5 Trillion Indian Pharma Market by 2034 ,2024,,"pharmaceutical market, domestic formulations, Indian market, future outlook,pharma industry, drug formulations, market potential",1008,10000,10005,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Indian%20domestic%20formulations_%20An%20INR%20~5.5%20trillion%20market%20by%202034%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/337.webp
337,Indian food processing sector: 5 point CTA to tap export potential,2022,,"food processing, export potential, Indian market, sector analysis,food industry, processing trends, export opportunities",1004,14000,14012,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/BCG/indian-food-processing-sector-5-point-call-to-action-to-tap-export-potential.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/338.webp
338,India's emerging drone industry: A point of view,2022,,"drone industry, emerging market, technology, Indian market,UAV market, drone technology, aerial innovation",1036,21000,21002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/kpmg/indias-emerging-drone-industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/339.webp
339,India's shifting automotive procurement mandate,2022,,"automotive procurement, Indian market, industry changes, supply chain,car procurement, automotive trends, supply chain dynamics",1038,24000,24002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/McKinsey/indias-shifting-automotive-procurement-mandate-final.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/340.webp
340,Decoding India's credit card market,2022,,"credit card market, Indian market, financial products, consumer trends,card industry, credit trends, financial sector analysis",1034,9000,9003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/decoding-indias-credit-card-market.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/341.webp
341,India's healthcare sector-trends to look for,2023,,"healthcare sector, Indian market, industry trends, future outlook,medical sector, health trends, market insights",1036,22000,22001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/kpmg/kpmg-advisory-roadshow.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/342.webp
342,Navigating credit : A thesis on India lending infrastructure ,2024,,"lending infrastructure, Indian market, credit system, financial analysis,credit market, lending trends, financial infrastructure",1015,9000,9003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Eximus/navigating-credit.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/343.webp
343,NBFCs in India: Growth and stability ,2024,,"NBFCs (Non-Banking Financial Companies), Indian market, growth, stability,financial institutions, NBFC sector, market growth",1036,9000,9003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/kpmg/nbfcs-in-india-growth-and-stability.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/344.webp
344, vbcc,2022,,"coal industry, challenges, opportunities, Indian market,coal sector, industry analysis, market opportunities",1034,26000,26003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/our-take.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/345.webp
345,Quick Commerce and it's evolving business model,2022,,"quick commerce, business model, market trends, Indian market,fast commerce, delivery services, retail innovation",1037,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/GrantThornton/quick_commerce_report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/346.webp
346,"State of automotive global
capability centres (GCCs)
in India ",2023,,"automotive GCCs, Indian market, global capabilities, sector analysis,car industry, capability centres, global trends",1034,24000,24002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/state-of-automotive-gccs-in-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/347.webp
347,Airbnb: Revolutionalising the travel industry,2022,,"Airbnb, travel industry, market disruption, Indian market,vacation rentals, travel innovation, hospitality sector",1013,5000,5012,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kaalari/Success-Diaries-Airbnb.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/348.webp
348,Taking India's lifesciences industry to the global stage,2021,,"life sciences, Indian market, global reach, industry potential,biotech industry, pharmaceutical innovation, global impact",1005,10000,10005,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kearney/Taking%20Indias%20life%20sciences%20industry%20to%20the%20global%20stage%20(1).pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/349.webp
349,The evolution of neobanks in India,2021,,"neobanks, Indian market, digital banking, fintech evolution,challenger banks, fintech innovation, banking trends",1034,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/the-evolution-of-neobanks-in-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/350.webp
350,The five E's to drive digital commerce,2024,,"digital commerce, market drivers, Indian market, retail trends,ecommerce, online retail, digital trends, retail innovation",1034,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/the-five-es-to-drive-digital-commerce.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/351.webp
351,The state of grocery retail in India ,2022,,"grocery retail, Indian market, sector analysis, market trends,food retail, supermarket industry, retail trends",1038,18000,18002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/McKinsey/the-state-of-grocery-retail-in-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/352.webp
352,Transforming India's mining landscape with autonomous technology ,2023,,"mining industry, autonomous technology, Indian market, sector transformation,automated mining, technology in mining, industry innovation",1034,26000,26002,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/transforming-indias-mining-landscape-with-autonomous-technology.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/353.webp
353,Travel Tech 2.0: The next phase of digitally empowering the Indian traveller,2024,,"travel technology, Indian market, digital empowerment, travel industry,travel tech, digital travel, industry trends",1037,5000,5012,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/GrantThornton/travel_tech_2_0.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/354.webp
354,Unlocking the $7 billion prize in India's aviation MRO market,2023,,"aviation MRO (maintenance, repair, and operations), Indian market, opportunities,aerospace maintenance, aviation repair, market potential",1005,25000,25006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kearney/Unlocking%20the%20$7%20billion%20prize%20in%20Indias%20aviation%20MRO%20market.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/355.webp
355,Unlocking opportunities in tax using GenAI,2024,,"tax opportunities, generative AI, Indian market, technology,AI in taxation, digital tax solutions, financial innovation",1034,3000,3004,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/unlocking-opportunities-in-tax-using-genai.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/356.webp
356,Unlocking the potential of bike taxis in India,2024,,"bike taxis, Indian market, potential, transportation industry,motorcycle taxis, ride-sharing, transport innovation",1036,5000,5013,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/kpmg/unlocking-the-potential-of-bike-taxis-in-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/357.webp
357,Winning India's e-commerce grocery battle,2020,,"e-commerce grocery, Indian market, retail competition, market analysis,online grocery, retail battle, market trends",1005,5000,5006,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Kearney/Winning%20Indias%20e-commerce%20grocery%20battle.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/358.webp
358,Enabling healthcare with technology,2023,,"healthcare technology, Indian market, digital health, industry innovation,health tech, medical technology, healthcare innovation",1034,10000,10009,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/enabling-healthcare-with-technology.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/359.webp
359,"Unleashing
potential: The next phase of digital lending in India",2023,,"digital lending, Indian market, financial technology, market potential,online lending, fintech loans, financial innovation",1002,9000,9003,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/EY/ey-the-next-phase-of-digital-lending-in-india.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/360.webp
360,"The State of the
Creator Economy
Assessing the Economic, Cultural,
and Societal Impact of YouTube
in India in 2022",2022,,"creator economy, YouTube, Indian market, economic impact,digital creators, content economy, social media impact",1022,6000,6001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Impact_Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/361.webp
361,The Indian payments handbook 2022-2027,2023,,"payments industry, Indian market, handbook, financial technology,payment trends, digital payments, financial insights",1034,9000,9001,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Pwc/the-indian-payments-handbook-2022-2027.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/362.webp
