Serial No.,Name of the report,Year,Released Month,Author/Company,Sector,Sub-sector,CDN Report Link,Thumbnail Links- New,,
75,Restaurant Industry Report,2022,March,Avendus Capital,"Hospitality, QSR & Food",Restaurants,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Restaurant%20Industry%20Report.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/75.webp,,
76,"MSME Lending: Unlocking potential, Realizing Dreams",2023,April,Avendus Capital,Financial Services,Lending,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/MSME%20Lending_%20Unlocking%20potential,%20Realizing%20Dreams.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/76.webp,,
77,India Unjunking : A USD 30 billion appetite for health food,2022,March,Avendus Capital,"Hospitality, QSR & Food",Health Food,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/India%20Unjunking%20_%20A%20USD%2030%20billion%20appetite%20for%20health%20food.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/77.webp,,
78,"Hot and Spicy: INR 50,000 Cr Branded Spices Market",2021,Aug,Avendus Capital,Retail,Grocery & Staples,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Hot%20and%20Spicy%20_%20INR%2050,000%20Cr%20Branded%20Spices%20Market.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/78.webp,,
79,Consumer Health and Wellness: A Shift From Elective To Essential,2023,July,Avendus Capital,Healthcare,Health & Wellness,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Consumer%20Health%20and%20Wellness_%20A%20Shift%20From%20Elective%20To%20Essential.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/79.webp,,
80,B2B Marketplaces: Revolutionizing the Indian B2B commerce supply chain,2023,April,Avendus Capital,Consumer Tech,B2B,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/B2B%20Marketplaces_%20Revolutionizing%20the%20Indian%20B2B%20commerce%20supply%20chain.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/80.webp,,
81,Agritech: Leading next decade‘s tech-first value creation,2022,Dec,Avendus Capital,Agritech,Agritech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Agritech_%20Leading%20next%20decade%E2%80%98s%20tech-first%20value%20creation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/81.webp,,
82,Digital & Technology : 2021- The Breakout Year,2021,March,Avendus Capital,Venture Capital & Private Equity,Sectors Review,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Digital%20&amp;%20Technology%20_%202021_%20The%20Breakout%20Year.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/82.webp,,
83,D2C Brands: Disrupting the next decade of shopping,2020,October,Avendus Capital,Consumer Tech,D2C,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/D2C%20Brands_%20Disrupting%20the%20next%20decade%20of%20shopping.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/83.webp,,
84,Internet Of Things: Surreal Becomes Real,2019,June,Avendus Capital,AI & Deeptech,Internet of Things (IoT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Internet%20Of%20Things_%20Surreal%20Becomes%20Real.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/84.webp,,
85,India‘s Mobile Internet,2013,Sept,Avendus Capital,Consumer Tech,Indian Consumer,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/India%E2%80%98s%20Mobile%20Internet%20-%20September,%202013.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/85.webp,,
86,The Theory of Inevitability: India's Digital Journey,2016,Nov,Avendus Capital,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/The%20Theory%20of%20Inevitability.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/86.webp,,
87,Logistics-tech – Re-architecting the nervous system of the economy,2016,Nov,Avendus Capital,Consumer Tech,Logistics Tech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Logistics-tech%20%E2%80%93%20Re-architecting%20the%20nervous%20system%20of%20the%20economy.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/87.webp,,
88,Cloud Services 3.0: A USD 160 Bn Market Opportunity by 2026,2023,Sept,Avendus Capital,Software,Cloud Services,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cloud%20Services%203.0_%20A%20USD%20160%20Bn%20Market%20Opportunity%20by%202026.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/88.webp,,
89,AI and Analytics: A USD 100 Bn Marketable Opportunity,2023,Aug,Avendus Capital,AI & Deeptech,AI & Analytics,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/AI%20and%20Analytics_%20A%20USD%20100%20Bn%20Marketable%20Opportunity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/89.webp,,
90,Cybersecurity Services: A key to sustainable global digital disruption,2023,July,Avendus Capital,Software,Cybersecurity,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cybersecurity%20Services_%20A%20key%20to%20sustainable%20global%20digital%20disruption.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/90.webp,,
91,Quality Assurance 3.0,2023,Feb,Avendus Capital,Software,Quality Assurance & Testing,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Quality%20Assurance%203.0.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/91.webp,,
92,The Inevitability of Hyperautomation,2022,Nov,Avendus Capital,AI & Deeptech,Automations & Robotics,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/The%20Inevitability%20of%20Hyperautomation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/92.webp,,
93,Future Leaders in Used Commercial Vehicle Finance,2021,July,Avendus Capital,Financial Services,Asset based Financing,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Future%20Leaders%20in%20Used%20Commercial%20Vehicle%20Finance.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/93.webp,,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Flavours,%20Fragrances%20and%20Nutraceutical%20Ingredients%20in%20India.pdf"
94,Low Code Software and Services Providers Landscape,2021,April,Avendus Capital,Software,No code,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Low%20Code%20Software%20and%20Services%20Providers%20Landscape.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/94.webp,,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Logistics-tech%20%E2%80%93%20Re-architecting%20the%20nervous%20system%20of%20the%20economy.pdf
95,Implication of Coronavirus On Technology Outsourcing M&A Deal Activity – Evolving Perspective,2020,Sept,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Impact%20of%20Coronavirus%20On%20Tech%20Outsourcing%20Industry%20And%20M&amp;A%20Deal%20Activity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/95.webp,,
96,MuleSoft by Salesforce: An overview of API & PaaS Industry,2020,Sept,Avendus Capital,Software,Platform as a Service (PaaS),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/MuleSoft.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/96.webp,,
97,ServiceNow: Overview of IT Industry,2020,Sept,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/ServiceNow.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/97.webp,,
98,A Perspective on Staffing for IT Services,2020,Sept,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/A%20Perspective%20on%20Staffing%20for%20IT%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/98.webp,,
99,Accenture:  The M&A engine,2020,Aug,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Accenture_%20The%20M&amp;A%20engine.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/99.webp,,
100,Business Opportunities From Communication Service Provider Transmigration Into Digital Service Provider,2020,July,Avendus Capital,Software,SaaS,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Business%20Opportunities%20From%20Communication%20Service%20Provider%20Transmigration%20Into%20Digital%20Service%20Provider.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/100.webp,,
101,Impact of Coronavirus On Tech Outsourcing Industry And M&A Deal Activity,2020,March,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Impact%20of%20Coronavirus%20On%20Tech%20Outsourcing%20Industry%20And%20M&amp;A%20Deal%20Activity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/101.webp,,
102,AI and Analytics: Driving the Next Wave of Digital Transformation,2020,March,Avendus Capital,AI & Deeptech,AI & Analytics,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/AI%20and%20Analytics%20_%20Driving%20the%20Next%20Wave%20of%20Digital%20Transformation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/102.webp,,
103,Will Azure top AWS: A Deep-dive into Azure Services ecosystem,2020,Jan,Avendus Capital,Software,Cloud Services,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Will%20Azure%20top%20AWS_%20A%20Deep-dive%20into%20Azure%20Services%20ecosystem.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/103.webp,,
104,Managed Security Services,2019,Aug,Avendus Capital,Software,Cybersecurity,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Managed%20Security%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/104.webp,,
105,IT Managed Services,2019,Aug,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/IT%20Managed%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/105.webp,,
106,Hyper-growth of AWS ecosystem,2019,Aug,Avendus Capital,Software,Cloud Services,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Hyper-growth%20of%20AWS%20ecosystem.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/106.webp,,
107,UI UX and Digital Transformation,2017,Jan,Avendus Capital,Software,SaaS,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/UI_UX%20and%20Digital%20Transformation.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/107.webp,,
108,Cyber Security: Market Overview,2017,Aug,Avendus Capital,Software,Cybersecurity,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cyber%20Security.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/108.webp,,
109,Global Outlook on Analytics Industry,2017,Aug,Avendus Capital,Software,Data & Analytics,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Global%20Outlook%20on%20Analytics%20Industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/109.webp,,
110,Artificial Intelligence & Robotic Process Automation Primer,2017,Sept,Avendus Capital,AI & Deeptech,Automations & Robotics,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Artificial%20Intelligence%20&amp;%20Robotic%20Process%20Automation%20Primer.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/110.webp,,
111,Outsourced Custom Software Development - Industry Overview,2017,Sept,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Outsourced%20Custom%20Software%20Development%20-%20Industry%20Overview.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/111.webp,,
112,Cloud Services & Key Players,2017,March,Avendus Capital,Software,Cloud Services,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Cloud%20Services%20&amp;%20Key%20Players.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/112.webp,,
113,Key Elements of Nasscom‘s Predictions till 2020,2017,Jan,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Key%20Elements%20of%20Nasscom%E2%80%98s%20Predictions%20till%202020.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/113.webp,,
114,ESG‘s emerging role in Capital Markets,2023,Sept,Avendus Capital,Climate & Sustainability,ESG,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/ESG%E2%80%98s%20emerging%20role%20in%20Capital%20Markets.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/114.webp,,
115,Healthcare BPO US Healthcare + Offshoring = Attractive High Margin Scalable Business,2020,June,Avendus Capital,Software,BPO,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Healthcare%20BPO_%20US%20Healthcare%20+%20Offshoring%20Attractive%20High%20Margin%20Scalable%20Business.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/115.webp,,
116,Study of Healthcare Technology Services,2020,June,Avendus Capital,Software,Information Technology (IT),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Study%20of%20Healthcare%20Technology%20Services.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/116.webp,,
117,Data Centres: Powering Digital India,2023,May,Avendus Capital,Infrastructure & Security,Data Centres,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Data%20Centres_%20Powering%20Digital%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/117.webp,,
118,Energy transition and clean energy investment in India,2023,March,Avendus Capital,Climate & Sustainability,Energy Transition,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Energy%20transition%20and%20clean%20energy%20investment%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/118.webp,,
119,Distressed Investments in India  : The Time is Ripe,2018,July,Avendus Capital,Venture Capital & Private Equity,Distressed & Insolvency,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Distressed%20Investments%20in%20India%20%20_%20The%20Time%20is%20Ripe.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/119.webp,,
120,Circular Economy: Recycling waste to wealth,2023,June,Avendus Capital,Climate & Sustainability,Circular Economy,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Circular%20Economy_%20Recycling%20waste%20to%20wealth.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/120.webp,,
121,Indian Specialty Chemicals Industry - Biggest Beneficiary of the Global Paradigm Shift,2020,Sept,"Avendus Capital, FICCI","Industrials, Materials & Manufacturing",Chemicals,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Indian%20Specialty%20Chemicals%20Industry%20-%20Biggest%20Beneficiary%20of%20the%20Global%20Paradigm%20Shift.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/121.webp,,
122,Electric Vehicles: Charging towards a bright future,2020,July,Avendus Capital,EV & Renewables,EV,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Electric%20Vehicles_%20Charging%20towards%20a%20bright%20future.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/122.webp,,
123,Specialty Chemicals in India,2018,June,Avendus Capital,"Industrials, Materials & Manufacturing",Chemicals,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Specialty%20Chemicals%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/123.webp,,
124,Specialty Chemicals : From Opportunity to Reality,2017,Feb,Avendus Capital,"Industrials, Materials & Manufacturing",Chemicals,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Specialty%20Chemicals%20_%20From%20Opportunity%20to%20Reality.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/124.webp,,
125,"Flavours, Fragrances and Nutraceutical Ingredients in India",2018,June,Avendus Capital,"Industrials, Materials & Manufacturing",Raw Materials Sourcing,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Flavours,%20Fragrances%20and%20Nutraceutical%20Ingredients%20in%20India.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/125.webp,,
126,Packaging 2.0 : Unboxing the E-Commerce Opportunity,2018,June,Avendus Capital,"Industrials, Materials & Manufacturing",Packaging,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/Packaging%202.0%20_%20Unboxing%20the%20E-Commerce%20Opportunity.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/126.webp,,
127,India goes Digital - A Birdseye View of the Indian Digital Consumer Industry,2011,Nov,Avendus Capital,Consumer Tech,Indian Consumer,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Avendus/India%20goes%20Digital%20-%20A%20Birdseye%20View%20of%20the%20Indian%20Digital%20Consumer%20Industry.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/127.webp,,
128,"Indian Wealthtech –
A $60 Bn opportunity by FY25",2020,Dec,RedSeer,Consumer Tech,Fintech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Indian%20Wealthtech%20%E2%80%93%20A%20$60%20Bn%20opportunity%20by%20FY25%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/128.webp,,
129,"Travel Market: India, SEA & GCC",2021,October,RedSeer,Consumer Tech,Travel Tech,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Travel%20Market%20Report%20%20India,%20SEA,%20GCC.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/129.webp,,
130,"Vernacular
is NOW, not
the future
A $300 Bn Opportunity Today",2019,July,RedSeer,Consumer Tech,Indian Consumer,"https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Vernacular%20is%20NOW,%20not%20the%20future%20A%20$300%20Bn%20Opportunity%20Today.pdf",https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/130.webp,,
131,"The Rise of US $50
Billion e-Baazar: A 360-degree view of the fast-growing
Indian E-tailing market",2018,July,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20Rise%20of%20US%20$50%20Billion%20e-Baazar.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/131.webp,,
132,"Short-form video:
The rise of Made in India
digital content",2021,April,RedSeer,Social & Advertising,Short form video (SFV),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The-rise-of-Made-in-India-digital-content.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/132.webp,,
133,The cost of being unhealthy: Perspective on productivity loss due to lifestyle choices.,2019,March,RedSeer,Healthcare,Health & Wellness,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/The%20cost%20of%20being%20unhealthy%20RedSeer%20perspective%20on%20productivity%20loss%20due%20to%20lifestyle%20choices..pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/133.webp,,
134,Stepping Into India’s Footprint,2018,December,RedSeer,Retail,Fashion,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Stepping%20Into%20India%E2%80%99s%20Footprint.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/134.webp,,
135,State of the Online Cabs Market,2017,May,RedSeer,Consumer Tech,Ride Hailing,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20the%20Online%20Cabs%20Market.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/135.webp,,
136,State of e-tailing in India,2017,May,RedSeer,Consumer Tech,Ecommerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20e-tailing%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/136.webp,,
137,State of E-logistics in India,2017,May,RedSeer,Consumer Tech,Logistics Tech,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/State%20of%20E-logistics%20in%20India.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/137.webp,,
138,"Indian Shortform
video : Ready to
leapfrog towards
monetization?",2021,Oct,RedSeer,Social & Advertising,Short form video (SFV),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Short%20form%20Video-%20leapfrog.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/138.webp,,
139,"Short form: Rising amidst
cluttered content
space
Short-form:",2020,Feb,RedSeer,Social & Advertising,Short form video (SFV),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Rising%20amidst%20cluttered%20content%20space%20Short-form-.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/139.webp,,
140,"Indian ShortForm
Apps – Catching up to
Global Players",2023,Feb,RedSeer,Social & Advertising,Short form video (SFV),https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/Indian%20ShortForm%20Apps%20%E2%80%93%20Catching%20up%20to%20Global%20Players.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/140.webp,,
141,Shopping goes Global- $10 Bn Opportunity for MENA Retailers,2023,August,Redseer,Consumer Tech,Social Commerce,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/Reports/Redseer/shopping%20goes%20social%20-$10%20Bn%20opportunity%20for%20MENA%20retailers%20.pdf,https://vc-thumbnails.blr1.cdn.digitaloceanspaces.com/thumbnails/141.webp,,
